date,team,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,FG%,FG3%,FT%,REB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,win%,FG%_opp,FG3%_opp,FT%_opp,REB/G_opp,AST/G_opp,STL/G_opp,BLK/G_opp,TOV/G_opp,PF/G_opp,PTS/G_opp,win%_opp,home
2021-10-26,New York,Philadelphia,112,99,-120.0,100.0,217.0,-1.0,105.5,0.45051194539249145,0.3673469387755102,0.6521739130434783,48.333333333333336,27.0,9.0,7.333333333333333,13.333333333333334,20.666666666666668,121.0,0.6666666666666666,0.48484848484848486,0.43137254901960786,0.803921568627451,43.0,22.0,7.0,7.666666666666667,10.666666666666666,16.333333333333332,113.66666666666667,0.6666666666666666,1
2021-10-26,LA Lakers,San Antonio,125,121,115.0,-135.0,220.0,2.0,109.0,0.4679245283018868,0.4339622641509434,0.6571428571428571,42.333333333333336,25.0,8.0,6.333333333333333,16.666666666666668,21.666666666666668,113.33333333333333,0.3333333333333333,0.4875444839857651,0.3118279569892473,0.7105263157894737,40.0,28.333333333333332,9.666666666666666,3.0,13.333333333333334,19.0,110.0,0.3333333333333333,0
2021-10-26,Denver,Utah,110,122,265.0,-320.0,218.5,7.5,106.5,0.4823529411764706,0.32710280373831774,0.6206896551724138,44.666666666666664,24.0,9.666666666666666,2.0,19.666666666666668,21.0,99.66666666666667,0.6666666666666666,0.425414364640884,0.33707865168539325,0.868421052631579,52.0,17.0,10.0,4.0,13.5,18.0,108.5,1.0,0
2021-10-27,New Orleans,Atlanta,99,102,175.0,-200.0,220.5,5.0,108.5,0.4241573033707865,0.3643410852713178,0.7887323943661971,51.75,22.0,6.75,5.25,18.5,19.5,101.25,0.25,0.4558303886925795,0.36633663366336633,0.7777777777777778,52.666666666666664,25.0,8.0,5.0,11.666666666666666,19.333333333333332,110.0,0.6666666666666666,1
2021-10-27,Washington,Boston,116,107,155.0,-175.0,224.0,4.0,109.0,0.43703703703703706,0.3173076923076923,0.8307692307692308,47.333333333333336,20.0,8.0,6.333333333333333,14.0,18.333333333333332,107.66666666666667,0.6666666666666666,0.43523316062176165,0.35106382978723405,0.7848101265822784,48.5,27.0,9.25,9.0,16.5,22.0,116.0,0.5,0
2021-10-27,LA Clippers,Cleveland,79,92,-350.0,290.0,219.0,-8.5,106.0,0.4479166666666667,0.3360655737704918,0.7719298245614035,42.0,28.0,12.333333333333334,4.0,10.333333333333334,23.0,114.33333333333333,0.3333333333333333,0.47413793103448276,0.30327868852459017,0.7764705882352941,43.75,28.25,7.25,4.75,13.0,16.5,108.25,0.5,1
2021-10-27,Toronto,Indiana,118,100,-120.0,100.0,214.0,-1.0,105.5,0.4,0.29411764705882354,0.8023255813953488,52.5,20.0,10.25,3.25,15.25,18.75,100.25,0.25,0.45989304812834225,0.358974358974359,0.8170731707317073,48.75,24.5,5.75,5.5,15.75,22.0,116.75,0.25,1
2021-10-27,Cleveland,LA Clippers,92,79,290.0,-350.0,219.0,8.5,106.0,0.47413793103448276,0.30327868852459017,0.7764705882352941,43.75,28.25,7.25,4.75,13.0,16.5,108.25,0.5,0.4479166666666667,0.3360655737704918,0.7719298245614035,42.0,28.0,12.333333333333334,4.0,10.333333333333334,23.0,114.33333333333333,0.3333333333333333,0
2021-10-27,Oklahoma City,LA Lakers,123,115,190.0,-220.0,217.0,5.5,106.5,0.4090909090909091,0.2867132867132867,0.7,43.25,21.0,7.25,3.25,14.25,17.75,94.5,0.0,0.4702702702702703,0.39705882352941174,0.6847826086956522,45.75,23.75,8.0,7.25,15.75,21.5,116.25,0.5,1
2021-10-27,Portland,Memphis,116,96,-135.0,115.0,233.0,-2.5,117.5,0.47058823529411764,0.3360655737704918,0.7719298245614035,48.0,21.333333333333332,8.0,4.666666666666667,17.0,18.333333333333332,113.66666666666667,0.3333333333333333,0.4827586206896552,0.40384615384615385,0.8727272727272727,50.0,26.333333333333332,8.666666666666666,5.0,12.666666666666666,18.0,123.33333333333333,0.6666666666666666,1
2021-10-27,Minnesota,Milwaukee,113,108,195.0,-235.0,231.0,5.5,113.0,0.41025641025641024,0.3412698412698413,0.75,44.666666666666664,22.666666666666668,13.666666666666666,9.0,16.0,22.0,106.0,0.6666666666666666,0.46218487394957986,0.35714285714285715,0.77,44.5,22.25,8.25,5.0,13.75,19.75,115.5,0.75,0
